id,NameZh,NameEn,price
86,鸡炒面,Fried Noodles with Chicken,20.00
87,牛肉炒面,Fried Noodles with Beef,20.00
88,叉烧炒面,Fried Noodles with BBQ Pork,20.00
89,虾仁炒面,Fried Noodles with Shrimps,20.00
90,杂烩炒面,Combination Fried Noodles,20.00
91,印尼炒面,Bami-Goreng,20.00
92,海鲜炒面,Fried Noodles with Seafood,24.00
