id,NameZh,NameEn,price
68,清炒时菜,Stir-fried Seasonal Vegetables,20.00
69,蒜蓉炒时菜,Stir-fried Seasonal Vegetables with Garlic,20.00
70,蚝皇时菜,Stir-fried Vegetables in Oyster Sauce,20.00
71,蒜蓉炒白菜,Stir-fried Pak Choy with Garlic,20.00
72,蚝皇炒白菜,Stir-fried Pak Choy in Oyster Sauce,20.00
73,罗汉上素,Chef,22.00
