id,NameZh,NameEn,price
31,香辣雞,Spicy Chicken with Chili and Garlic,23.00
32,檸檬雞,Lemon Chicken,23.00
33,香蜜雞,Honey Chicken,23.00
34,咕嚕雞球,Sweet & Sour Chicken,23.00
35,時菜雞球,Stir-fried Chicken with Vegetables,24.00
37,宮保鷄丁,Kung Po Chicken (Hot & Spicy),25.00
38,腰果鷄丁,Chicken with Cashew Nuts & Vegetables,26.00
39,沙爹雞球,Stir-fried Chicken in Satay Sauce,26.00
