id,NameZh,NameEn,price
1,点心拼盘,"Entree Combination (BBQ Pork, Wonton, Spring Roll, Squid)",12
2, 酥炸春卷, Deep Fried Spring Rolls (4),6.00
3, 酥炸云吞, Deep Fried Wontons (4),6.00
4, 酥炸鲜鱿, Deep Fried Squids (4),6.00
5, 酥炸带子, Deep Fried Crumbed Scallops (4),8.00
6, 酥炸虾球, Deep Fried Pawns (4) .10.00
7, 酥炸鸡翼, Deep Fried Chicken Wings (4),8.00
8, 点  心,Steamed Dim Sims (4),8.00
9, 煎 饺 子,Pan-fried Meat Dumplings (4),8.00
10, 香 麻 虾,Sesame Prawns (4),10.00

