id,NameZh,NameEn,price
22,薑蔥牛肉,Beef with Ginger & Spring Onion,27.00
23,蒙古牛肉,Mongolian Beef in Chef,27.00
24,中式牛柳,Chinese Style Beef Steak,29.00
25,豉汁牛柳,Beef Steak in Black Bean Sauce,27.00
26,薑蔥羊肉,Lamb with Ginger & Spring Onion,29.00
27,蒙古羊肉,Mongolian Lamb in Chef,29.00
28,黑椒羊扒,Lamb in Black Pepper Sauce,29.00
29,薑蔥海鮮,Seafood with Ginger & Spring Onion,30.00
