id,NameZh,NameEn,price
40,时菜牛肉,Stir-fried Beef with Vegetables,24.00
41,蚝皇牛肉,Stir-fried Beef in Oyster Sauce with Pak Choy,24.00
42,豉汁牛肉,Stir-fried Beef in Black Bean Sauce with Vegetables,24.00
43,沙爹牛肉,Stir-fried Beef in Satay Sauce with Vegetables,24.00
44,陈皮牛肉,Orange Beef,24.00
