id,NameZh,NameEn,price
63,椒盐豆腐,Deep Fried Tofu with Spicy Pepper Salt,24.00
64,百花酿豆腐,Steamed Minced Shrimps Stuffed Tofu,28.00
65,麻婆豆腐,Ma Pou Tofu (Hot & Spicy),26.00
66,红烧北菇豆腐,Braised Tofu with Dried Mushroom,25.00
67,海鲜豆腐,Tofu with Seafood,30.00
