id,NameZh,NameEn,price
16, 北京烤鸭,Peiking Duck. 1 Course  (Wrapped in Pancake),40.00
16, 北京烤鸭,Peiking Duck. 2 Course  (Minced meat served with lettuce),60.00
17,烧味拼盘,Barbecued Meat Combination,28.00
19,蜜汁叉烧,BBQ Pork,26.00
20,明炉烧鸭,Roast Duck (Traditional with bones),28.00
21,脆皮烧肉,Crispy Skin Roast Pork,26.00
