id,NameZh,NameEn,price
11,鸡肉粟米羹,Chicken Sweet Corn Soup,6.50
12,蟹肉粟米羹,Crab Meat Sweet Corn Soup,6.50
13,海鲜豆腐羹,Seafood Tofu Soup,8.00
14,云吞汤,Wonton Soup,8.50
15,京都酸辣汤,Chinese Style Hot & Sour Soup,7.50
